tool	concept	weight	top_files
nibabel	image IO	1076	nibabel/references/documentation/overview/README.rst, nibabel/references/documentation/other/nifti_images.rst, nibabel/references/tutorials/index.md
psychopy	experiment design	1047	psychopy/references/tutorials/plugin-stub-links/plugin-stub-links.md, psychopy/references/documentation/overview/README.md, psychopy/SKILL.md
nibabel	reproducibility	948	nibabel/references/documentation/other/data_pkg_discuss.rst, nibabel/SKILL.md, nibabel/references/tutorials/load-trk-version-1/load-trk-version-1.md
nilearn	containerization	915	nilearn/references/documentation/other/index.rst, nilearn/references/documentation/other/masker_objects.rst, nilearn/references/documentation/other/manipulating_images.rst
jspsych	experiment design	892	jspsych/references/documentation/guides/rt-task.md, jspsych/references/documentation/other/style.md, jspsych/references/documentation/guides/hello-world.md
nilearn	surface reconstruction	890	nilearn/references/tutorials/index.md, nilearn/references/documentation/other/index.rst, nilearn/references/documentation/other/0.11.0.rst
snakemake	reproducibility	841	snakemake/references/documentation/other/deployment.rst, snakemake/references/documentation/other/rules.rst, snakemake/references/documentation/other/cli.rst
nibabel	workflow management	823	nibabel/SKILL.md, nibabel/references/documentation/other/development_workflow.rst, nibabel/references/documentation/other/maintainer_workflow.rst
freesurfer	surface reconstruction	788	freesurfer/references/documentation/overview/ReconAllTableStableV6.0.md, freesurfer/references/documentation/overview/FAQ.md, freesurfer/SKILL.md
afni	reproducibility	774	afni/references/documentation/other/README.rst, afni/references/tutorials/index.md, afni/references/tutorials/chown-extra/chown-extra.md
nilearn	image IO	773	nilearn/references/tutorials/index.md, nilearn/references/documentation/other/input_output.rst, nilearn/references/tutorials/repr-niimgs-force-long-names/repr-niimgs-force-long-names.md
qsiprep	diffusion preprocessing	753	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/SKILL.md, qsiprep/references/documentation/other/usage.rst
afni	workflow management	718	afni/SKILL.md, afni/references/documentation/overview/README.rst, afni/references/tutorials/-check-hdr-points-space/-check-hdr-points-space.md
nibabel	containerization	694	nibabel/references/documentation/other/nibabel_images.rst, nibabel/references/documentation/other/coordinate_systems.rst, nibabel/references/documentation/other/biap_0003.rst
jspsych	events	686	jspsych/references/documentation/guides/rt-task.md, jspsych/references/documentation/other/timeline.md, jspsych/references/documentation/other/style.md
mrtrix3	tractography	651	mrtrix3/references/documentation/api/5ttgen.rst, mrtrix3/references/documentation/api/tckgen.rst, mrtrix3/references/documentation/other/image_data.rst
dipy	registration	603	dipy/references/tutorials/index.md, dipy/references/tutorials/check-img-shapes/check-img-shapes.md, dipy/references/documentation/other/registration_flow.rst
fmriprep	BIDS	578	fmriprep/references/tutorials/bidsuri/bidsuri.md, fmriprep/references/documentation/other/outputs.rst, fmriprep/SKILL.md
nilearn	connectome	577	nilearn/references/tutorials/index.md, nilearn/references/documentation/other/functional_connectomes.rst, nilearn/references/documentation/other/connectome_extraction.rst
mne-python	source localization	570	mne-python/references/tutorials/index.md, mne-python/references/documentation/other/cookbook.rst, mne-python/references/documentation/other/forward.rst
fmriprep	fMRI preprocessing	555	fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/faq.rst
nilearn	fMRI preprocessing	552	nilearn/references/tutorials/index.md, nilearn/references/tutorials/check-parameters-transform/check-parameters-transform.md, nilearn/references/tutorials/clean-confounds-inputs/clean-confounds-inputs.md
mrtrix3	reproducibility	527	mrtrix3/references/documentation/api/dwi2response.rst, mrtrix3/references/documentation/other/build_from_source.rst, mrtrix3/references/documentation/other/using_containers.rst
nilearn	GLM	527	nilearn/references/tutorials/index.md, nilearn/references/tutorials/save-glm-to-bids-contrast-definitions/save-glm-to-bids-contrast-definitions.md, nilearn/references/tutorials/save-glm-to-bids-second-level/save-glm-to-bids-second-level.md
psychopy	reproducibility	501	psychopy/SKILL.md, psychopy/references/tutorials/writing/writing.md, psychopy/references/tutorials/default/default.md
nilearn	BIDS	497	nilearn/references/tutorials/index.md, nilearn/references/tutorials/save-glm-to-bids-infer-filenames/save-glm-to-bids-infer-filenames.md, nilearn/references/tutorials/select-from-index/select-from-index.md
psychopy	workflow management	481	psychopy/SKILL.md, psychopy/references/tutorials/add-args-and-kwargs/add-args-and-kwargs.md, psychopy/references/tutorials/add-invalid-modifiers/add-invalid-modifiers.md
nibabel	registration	459	nibabel/references/documentation/other/coordinate_systems.rst, nibabel/references/documentation/other/nifti_images.rst, nibabel/references/tutorials/index.md
qsiprep	BIDS	431	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/usage.rst, qsiprep/references/tutorials/group-dwi-scans-with-complex-b0fields/group-dwi-scans-with-complex-b0fields.md
mne-python	events	424	mne-python/references/tutorials/crop-more/crop-more.md, mne-python/references/tutorials/read-vhdr-annotations-and-events/read-vhdr-annotations-and-events.md, mne-python/references/tutorials/export-edf-annotations/export-edf-annotations.md
mne-python	surface reconstruction	421	mne-python/references/tutorials/index.md, mne-python/references/documentation/other/forward.rst, mne-python/references/documentation/other/cookbook.rst
nilearn	confounds	420	nilearn/references/tutorials/index.md, nilearn/references/tutorials/check-parameters-transform/check-parameters-transform.md, nilearn/references/tutorials/clean-confounds-inputs/clean-confounds-inputs.md
pymc	registration	354	pymc/references/tutorials/index.md, pymc/references/tutorials/interdependent-transformed-rvs/interdependent-transformed-rvs.md, pymc/references/documentation/api/transforms.rst
jspsych	containerization	337	jspsych/references/documentation/other/image-keyboard-response.md, jspsych/references/documentation/other/image-button-response.md, jspsych/references/documentation/guides/rt-task.md
bids-specification	derivatives	334	bids-specification/references/documentation/other/imaging.md, bids-specification/references/documentation/other/atlas.md, bids-specification/references/documentation/other/common-principles.md
mrtrix3	diffusion preprocessing	311	mrtrix3/references/documentation/api/dwifslpreproc.rst, mrtrix3/references/documentation/other/batch_processing_with_foreach.rst, mrtrix3/references/documentation/other/dw_scheme.rst
nipype	registration	278	nipype/references/tutorials/index.md, nipype/references/tutorials/ants-mand/ants-mand.md, nipype/references/tutorials/reorientation-backport/reorientation-backport.md
mne-python	quality control	275	mne-python/references/tutorials/multiple-figs/multiple-figs.md, mne-python/references/tutorials/add-custom-js/add-custom-js.md, mne-python/references/tutorials/render-mri/render-mri.md
mrtrix3	connectome	267	mrtrix3/references/documentation/other/connectome_tool.rst, mrtrix3/references/documentation/other/structural_connectome.rst, mrtrix3/references/documentation/other/labelconvert_tutorial.rst
mne-python	time-frequency analysis	261	mne-python/references/tutorials/index.md, mne-python/references/tutorials/tfr-decim-and-shift-time/tfr-decim-and-shift-time.md, mne-python/references/tutorials/add-channels/add-channels.md
bids-specification	EEG preprocessing	258	bids-specification/references/documentation/specifications/magnetic-resonance-imaging-data.md, bids-specification/references/documentation/other/common-principles.md, bids-specification/references/documentation/other/description.md
jspsych	reproducibility	258	jspsych/references/documentation/other/plugin-development.md, jspsych/references/documentation/other/migration-v8.md, jspsych/references/documentation/other/extension-development.md
nilearn	epoching	254	nilearn/references/tutorials/check-events-warnings/check-events-warnings.md, nilearn/references/tutorials/index.md, nilearn/references/tutorials/check-events/check-events.md
fmriprep	reproducibility	250	fmriprep/references/documentation/other/workflows.rst, fmriprep/SKILL.md, fmriprep/references/documentation/other/installation.rst
fmriprep	derivatives	245	fmriprep/references/documentation/other/outputs.rst, fmriprep/SKILL.md, fmriprep/references/tutorials/derivatives/derivatives.md
mrtrix3	behavioral data	228	mrtrix3/references/documentation/other/response_function_estimation.rst, mrtrix3/references/documentation/api/dwi2response.rst, mrtrix3/references/documentation/other/mt_fibre_density_cross-section.rst
dipy	containerization	227	dipy/references/documentation/other/denoise_flow.rst, dipy/references/documentation/other/registration_flow.rst, dipy/references/tutorials/classify/classify.md
fmriprep	workflow management	223	fmriprep/references/documentation/other/workflows.rst, fmriprep/SKILL.md, fmriprep/references/tutorials/config-spaces/config-spaces.md
dipy	behavioral data	212	dipy/references/tutorials/index.md, dipy/references/tutorials/multi-shell-fiber-response/multi-shell-fiber-response.md, dipy/SKILL.md
qsiprep	reproducibility	212	qsiprep/references/documentation/overview/AGENTS.md, qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/tutorials/dscsdsi/dscsdsi.md
mne-python	registration	209	mne-python/references/tutorials/xdawn-apply-transform/xdawn-apply-transform.md, mne-python/references/tutorials/tps/tps.md, mne-python/references/tutorials/index.md
qsiprep	workflow management	209	qsiprep/references/documentation/overview/AGENTS.md, qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/tutorials/dscsdsi/dscsdsi.md
snakemake	containerization	207	snakemake/references/documentation/other/deployment.rst, snakemake/references/documentation/other/migration.rst, snakemake/references/documentation/other/index.rst
dipy	diffusion preprocessing	197	dipy/references/documentation/other/basic_flow.rst, dipy/references/tutorials/msdki-predict/msdki-predict.md, dipy/references/tutorials/dki-predict/dki-predict.md
mrtrix3	registration	193	mrtrix3/references/documentation/api/mrtransform.rst, mrtrix3/references/documentation/api/mrregister.rst, mrtrix3/references/documentation/other/image_data.rst
nilearn	EEG preprocessing	170	nilearn/references/tutorials/index.md, nilearn/references/documentation/other/introduction.rst, nilearn/references/documentation/other/resting_state_networks.rst
nipype	surface reconstruction	169	nipype/references/tutorials/freesurfersource-outputs/freesurfersource-outputs.md, nipype/references/tutorials/reconall-outputs/reconall-outputs.md, nipype/references/tutorials/surfxfm/surfxfm.md
qsiprep	containerization	166	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/installation.rst, qsiprep/references/documentation/other/contributors.rst
snakemake	browser experiment	165	snakemake/references/documentation/other/codebase.rst, snakemake/references/documentation/other/migration.rst, snakemake/references/tutorials/plugin/plugin.md
mne-python	image IO	164	mne-python/references/tutorials/save-stc-as-gifti/save-stc-as-gifti.md, mne-python/references/tutorials/save-vol-stc-as-nifti/save-vol-stc-as-nifti.md, mne-python/references/tutorials/index.md
fmriprep	surface reconstruction	155	fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/faq.rst, fmriprep/references/documentation/other/outputs.rst
nilearn	quality control	151	nilearn/references/tutorials/index.md, nilearn/references/tutorials/save-glm-to-bids-glm-report-no-contrast/save-glm-to-bids-glm-report-no-contrast.md, nilearn/references/tutorials/masker-reporting-true/masker-reporting-true.md
bids-specification	reproducibility	148	bids-specification/references/documentation/contributing/CONTRIBUTING.md, bids-specification/references/documentation/other/hed.md, bids-specification/SKILL.md
nilearn	statistics	147	nilearn/references/documentation/other/estimator_choice.rst, nilearn/references/documentation/other/searchlight.rst, nilearn/references/tutorials/index.md
bids-specification	events	145	bids-specification/references/documentation/other/events.md, bids-specification/references/documentation/other/hed.md, bids-specification/references/documentation/specifications/physiological-recordings.md
nilearn	behavioral data	145	nilearn/references/tutorials/index.md, nilearn/references/tutorials/sample-condition-1/sample-condition-1.md, nilearn/references/tutorials/sample-condition-3/sample-condition-3.md
nilearn	events	139	nilearn/references/tutorials/check-events-warnings/check-events-warnings.md, nilearn/references/tutorials/design-matrix-fir-column-1-3-and-11/design-matrix-fir-column-1-3-and-11.md, nilearn/references/tutorials/plot-event-error/plot-event-error.md
snakemake	quality control	138	snakemake/references/documentation/other/reporting.rst, snakemake/references/documentation/api/snakemake.report.html_reporter.data.rst, snakemake/references/documentation/other/rules.rst
nipype	containerization	129	nipype/references/documentation/other/testing_nipype.rst, nipype/references/tutorials/generate/generate.md, nipype/references/tutorials/datasink-localcopy/datasink-localcopy.md
bids-specification	workflow management	126	bids-specification/references/documentation/other/description.md, bids-specification/references/tutorials/entity-rule/entity-rule.md, bids-specification/SKILL.md
nilearn	derivatives	126	nilearn/references/tutorials/save-glm-to-bids-infer-filenames/save-glm-to-bids-infer-filenames.md, nilearn/references/tutorials/index.md, nilearn/references/tutorials/get-bids-files-fmriprep/get-bids-files-fmriprep.md
nipype	diffusion preprocessing	124	nipype/references/tutorials/index.md, nipype/references/tutorials/eddy-correct2/eddy-correct2.md, nipype/references/tutorials/dwi-tool/dwi-tool.md
bids-specification	containerization	122	bids-specification/references/documentation/specifications/magnetic-resonance-imaging-data.md, bids-specification/references/documentation/other/imaging.md, bids-specification/references/documentation/other/qmri.md
mne-python	containerization	118	mne-python/references/tutorials/index.md, mne-python/references/documentation/other/funding.rst, mne-python/references/documentation/overview/README.rst
fmriprep	containerization	112	fmriprep/references/documentation/other/installation.rst, fmriprep/references/documentation/other/faq.rst, fmriprep/references/documentation/other/workflows.rst
mrtrix3	image IO	111	mrtrix3/references/documentation/other/image_data.rst, mrtrix3/references/documentation/api/mrconvert.rst, mrtrix3/references/documentation/other/dw_scheme.rst
dipy	image IO	107	dipy/references/documentation/other/api_changes.rst, dipy/references/documentation/other/faq.rst, dipy/references/tutorials/ascm-accuracy/ascm-accuracy.md
psychopy	events	103	psychopy/references/tutorials/audioclip-synth/audioclip-synth.md, psychopy/references/tutorials/blank-timing/blank-timing.md, psychopy/references/tutorials/audioclip-attrib/audioclip-attrib.md
bids-specification	diffusion preprocessing	99	bids-specification/references/documentation/specifications/magnetic-resonance-imaging-data.md, bids-specification/references/tutorials/assignability/assignability.md, bids-specification/SKILL.md
bids-specification	epoching	98	bids-specification/references/documentation/other/events.md, bids-specification/references/documentation/other/hed.md, bids-specification/references/documentation/other/description.md
mne-python	behavioral data	94	mne-python/references/documentation/other/datasets.rst, mne-python/references/documentation/other/forward.rst, mne-python/references/tutorials/correction/correction.md
afni	registration	92	afni/references/tutorials/index.md, afni/references/tutorials/concat/concat.md, afni/references/tutorials/save-load-endian/save-load-endian.md
bids-specification	connectome	90	bids-specification/references/documentation/other/atlas.md, bids-specification/references/documentation/other/imaging.md, bids-specification/references/documentation/other/common-principles.md
fmriprep	confounds	90	fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/overview/REFERENCES.md
mrtrix3	GLM	87	mrtrix3/references/documentation/api/fixelcfestats.rst, mrtrix3/references/documentation/api/tckmap.rst, mrtrix3/references/documentation/api/connectomestats.rst
dipy	epoching	84	dipy/references/tutorials/orthogonality-temporal-basis-functions/orthogonality-temporal-basis-functions.md, dipy/references/tutorials/normalization-time/normalization-time.md, dipy/references/tutorials/default-cnn1ddenoiser-flow/default-cnn1ddenoiser-flow.md
mne-python	experiment design	77	mne-python/references/tutorials/plot-heatmap/plot-heatmap.md, mne-python/references/tutorials/read-vhdr-annotations-and-events/read-vhdr-annotations-and-events.md, mne-python/references/tutorials/ignore-marker-types/ignore-marker-types.md
nipype	browser experiment	75	nipype/references/tutorials/outputs-removal-wf/outputs-removal-wf.md, nipype/references/tutorials/callback-gantt/callback-gantt.md, nipype/references/tutorials/callback-exception/callback-exception.md
mrtrix3	EEG preprocessing	74	mrtrix3/references/documentation/api/mrfilter.rst, mrtrix3/references/documentation/other/image_access.md, mrtrix3/references/documentation/api/maskfilter.rst
mne-python	BIDS	68	mne-python/references/tutorials/bids-split-files/bids-split-files.md, mne-python/references/tutorials/fil-bad-channel-spec/fil-bad-channel-spec.md, mne-python/references/tutorials/fil-complete/fil-complete.md
psychopy	containerization	66	psychopy/references/tutorials/background-image-fit/background-image-fit.md, psychopy/references/tutorials/index.md, psychopy/references/tutorials/imageandgauss/imageandgauss.md
afni	containerization	62	afni/references/tutorials/files-interface/files-interface.md, afni/references/documentation/overview/README.rst, afni/references/documentation/other/README.rst
qsiprep	fMRI preprocessing	61	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/quickstart.rst, qsiprep/references/documentation/overview/AGENTS.md
freesurfer	reproducibility	59	freesurfer/references/documentation/overview/FAQ.md, freesurfer/SKILL.md, freesurfer/references/documentation/overview/DownloadAndInstall.md
jspsych	epoching	59	jspsych/references/documentation/api/jspsych-data.md, jspsych/references/documentation/other/mouse-tracking.md, jspsych/references/documentation/other/plugin-development.md
nibabel	surface reconstruction	59	nibabel/references/documentation/other/biap_0009.rst, nibabel/references/tutorials/annot/annot.md, nibabel/references/documentation/other/roadmap.rst
bids-specification	surface reconstruction	58	bids-specification/references/documentation/other/coordinate-systems.md, bids-specification/references/documentation/other/imaging.md, bids-specification/references/documentation/specifications/electromyography.md
mrtrix3	surface reconstruction	56	mrtrix3/references/documentation/api/5ttgen.rst, mrtrix3/references/documentation/other/labelconvert_tutorial.rst, mrtrix3/references/documentation/other/ismrm_hcp_tutorial.rst
qsiprep	registration	55	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/comparisons.md, qsiprep/references/documentation/other/quickstart.rst
fmriprep	EEG preprocessing	52	fmriprep/references/tutorials/bidsuri/bidsuri.md, fmriprep/SKILL.md, fmriprep/references/tutorials/bids-filter-file/bids-filter-file.md
mrtrix3	Bayesian modeling	52	mrtrix3/references/documentation/other/image_data.rst, mrtrix3/references/documentation/other/pe_scheme.rst, mrtrix3/references/documentation/other/response_function_estimation.rst
psychopy	behavioral data	52	psychopy/references/tutorials/loaded-namespace/loaded-namespace.md, psychopy/references/tutorials/getfuturetrials/getfuturetrials.md, psychopy/references/tutorials/questplus/questplus.md
pymc	containerization	50	pymc/references/documentation/overview/README.rst, pymc/references/documentation/other/docker_container.md, pymc/references/documentation/other/pr_tutorial.md
qsiprep	derivatives	49	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/quickstart.rst, qsiprep/references/documentation/overview/AGENTS.md
bids-specification	image IO	48	bids-specification/references/documentation/specifications/magnetic-resonance-imaging-data.md, bids-specification/references/documentation/other/common-principles.md, bids-specification/references/documentation/other/coordinate-systems.md
dipy	EEG preprocessing	48	dipy/references/documentation/other/denoise_flow.rst, dipy/references/documentation/other/basic_flow.rst, dipy/references/documentation/other/buan_flow.rst
bids-specification	fMRI preprocessing	47	bids-specification/references/tutorials/dereferencing/dereferencing.md, bids-specification/SKILL.md, bids-specification/references/documentation/other/common-principles.md
dipy	surface reconstruction	41	dipy/references/tutorials/index.md, dipy/references/tutorials/freesurfer-density-operation/freesurfer-density-operation.md, dipy/references/tutorials/surface-seeds/surface-seeds.md
mne-python	statistics	41	mne-python/references/tutorials/index.md, mne-python/references/tutorials/continuous-regression-no-overlap/continuous-regression-no-overlap.md, mne-python/references/tutorials/continuous-regression-with-overlap/continuous-regression-with-overlap.md
pymc	behavioral data	41	pymc/references/tutorials/simple-model/simple-model.md, pymc/references/tutorials/index.md, pymc/references/tutorials/observed-data-also-constant/observed-data-also-constant.md
dipy	connectome	40	dipy/references/documentation/guides/dataset_list.rst, dipy/references/documentation/other/bundle_segmentation_flow.rst, dipy/references/tutorials/index.md
eeglab	EEG preprocessing	40	eeglab/references/documentation/overview/AGENTS.md, eeglab/references/documentation/overview/README.md
nipype	image IO	40	nipype/references/tutorials/fslmerge/fslmerge.md, nipype/references/tutorials/netcorr-inputs/netcorr-inputs.md, nipype/references/documentation/other/interfaces.rst
fmriprep	registration	39	fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/overview/REFERENCES.md
jspsych	EEG preprocessing	38	jspsych/references/documentation/api/jspsych-data.md, jspsych/references/documentation/guides/rt-task.md, jspsych/references/documentation/other/data.md
qsiprep	surface reconstruction	36	qsiprep/references/documentation/other/installation.rst, qsiprep/SKILL.md, qsiprep/references/tutorials/synthseg-interface/synthseg-interface.md
fmriprep	image IO	35	fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/benchmarks.rst
freesurfer	connectome	33	freesurfer/SKILL.md, freesurfer/references/documentation/overview/FAQ.md, freesurfer/references/documentation/overview/FreeSurferMethodsCitation.md
freesurfer	EEG preprocessing	31	freesurfer/references/documentation/overview/Glossary.md, freesurfer/references/documentation/overview/CoordinateSystems.md, freesurfer/references/documentation/overview/DownloadAndInstall.md
mne-python	connectome	31	mne-python/references/tutorials/index.md, mne-python/references/tutorials/random-parcellation/random-parcellation.md, mne-python/references/documentation/api/connectivity.rst
freesurfer	registration	29	freesurfer/references/documentation/overview/FreeSurferCommandsRegistration.md, freesurfer/references/documentation/overview/FAQ.md, freesurfer/references/documentation/overview/ReconAllTableStableV6.0.md
bids-specification	browser experiment	28	bids-specification/references/documentation/overview/README.md, bids-specification/references/documentation/contributing/CONTRIBUTING.md, bids-specification/references/documentation/overview/macros_doc.md
dipy	GLM	28	dipy/references/tutorials/index.md, dipy/references/tutorials/design-matrix/design-matrix.md, dipy/references/tutorials/bspline-design-matrix-row-sums/bspline-design-matrix-row-sums.md
pymc	statistics	28	pymc/references/documentation/other/glossary.md, pymc/references/tutorials/index.md, pymc/references/tutorials/multiple-minibatch-variables/multiple-minibatch-variables.md
mrtrix3	BIDS	27	mrtrix3/references/documentation/other/pe_scheme.rst, mrtrix3/references/documentation/api/5ttgen.rst, mrtrix3/references/documentation/api/labelsgmfix.rst
nipype	Bayesian modeling	27	nipype/references/tutorials/blob-inputs/blob-inputs.md, nipype/references/tutorials/calabel-inputs/calabel-inputs.md, nipype/references/tutorials/dtlutgen-inputs/dtlutgen-inputs.md
nipype	BIDS	26	nipype/references/tutorials/dvars/dvars.md, nipype/references/tutorials/clone-node-iterables/clone-node-iterables.md, nipype/references/tutorials/dcm2niix-dti/dcm2niix-dti.md
psychopy	fMRI preprocessing	26	psychopy/references/tutorials/formatting/formatting.md
qsiprep	tractography	25	qsiprep/references/documentation/other/links.rst, qsiprep/references/tutorials/dwidenoise/dwidenoise.md, qsiprep/references/documentation/other/preprocessing.rst
snakemake	EEG preprocessing	25	snakemake/references/documentation/other/deployment.rst, snakemake/references/tutorials/plugin/plugin.md, snakemake/SKILL.md
mne-python	Bayesian modeling	24	mne-python/references/documentation/other/inverse.rst, mne-python/references/tutorials/index.md, mne-python/references/tutorials/plot-spectrum-db/plot-spectrum-db.md
bids-specification	Bayesian modeling	23	bids-specification/references/documentation/specifications/magnetic-resonance-imaging-data.md, bids-specification/references/documentation/other/coordinate-systems.md, bids-specification/references/documentation/other/common-principles.md
bids-specification	behavioral data	23	bids-specification/references/documentation/specifications/behavioral-experiments.md, bids-specification/references/documentation/specifications/electroencephalography.md, bids-specification/references/documentation/specifications/magnetoencephalography.md
eeglab	browser experiment	23	eeglab/references/documentation/overview/AGENTS.md, eeglab/references/documentation/templates/new-plugin-or-plugin-update.md, eeglab/SKILL.md
freesurfer	containerization	23	freesurfer/references/documentation/overview/Glossary.md, freesurfer/references/documentation/overview/FAQ.md, freesurfer/references/documentation/overview/FreeSurferMethodsCitation.md
mrtrix3	quality control	23	mrtrix3/references/documentation/api/mrconvert.rst, mrtrix3/references/documentation/templates/bug_report.md, mrtrix3/references/documentation/api/dirstat.rst
nibabel	Bayesian modeling	23	nibabel/references/documentation/other/coordinate_systems.rst, nibabel/references/documentation/other/image_orientation.rst, nibabel/references/documentation/other/legal.rst
afni	image IO	22	afni/references/documentation/overview/README.rst, afni/references/tutorials/index.md, afni/references/documentation/other/Demonstrations.md
nipype	connectome	22	nipype/references/documentation/other/interfaces.rst, nipype/references/tutorials/cluster-inputs/cluster-inputs.md, nipype/references/tutorials/talairachavi-inputs/talairachavi-inputs.md
psychopy	GLM	22	psychopy/references/tutorials/greyscaleimage/greyscaleimage.md, psychopy/references/tutorials/contrast/contrast.md, psychopy/references/tutorials/index.md
dipy	quality control	21	dipy/references/documentation/other/developers.rst, dipy/references/tutorials/roi-images/roi-images.md, dipy/references/tutorials/slicer/slicer.md
fmriprep	quality control	21	fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/README.rst, fmriprep/references/documentation/overview/README.rst
nilearn	Bayesian modeling	21	nilearn/references/tutorials/index.md, nilearn/references/tutorials/decoder-dummy-classifier-strategy-prior/decoder-dummy-classifier-strategy-prior.md, nilearn/references/documentation/other/connectome_extraction.rst
qsiprep	quality control	21	qsiprep/references/documentation/other/preprocessing.rst, qsiprep/references/documentation/other/comparisons.md, qsiprep/references/documentation/overview/AGENTS.md
fmriprep	connectome	20	fmriprep/references/documentation/other/outputs.rst, fmriprep/references/documentation/other/workflows.rst, fmriprep/references/documentation/other/installation.rst
nipype	fMRI preprocessing	20	nipype/references/tutorials/s3datagrabber-communication/s3datagrabber-communication.md, nipype/references/tutorials/compcor-bad-input-shapes/compcor-bad-input-shapes.md, nipype/references/tutorials/computedvars-inputs/computedvars-inputs.md
qsiprep	image IO	20	qsiprep/references/tutorials/synthseg-interface/synthseg-interface.md, qsiprep/references/tutorials/synthstrip-interface/synthstrip-interface.md, qsiprep/references/documentation/other/preprocessing.rst
afni	diffusion preprocessing	19	afni/references/tutorials/index.md, afni/references/tutorials/1ddw-grad-o-mat-plus-plus-colmat/1ddw-grad-o-mat-plus-plus-colmat.md, afni/references/documentation/overview/README.rst
